Offset,Data,Class
-3351,-3239,0
-3316.4,-3279,0
-3289.8,-3293,0
-3266,-3279,0
-3284.2,-3244,0
-3266.8,-3313,0
-3281.6,-3561,0
-3338,-3652,0
-3409.8,-2789,0
-3311.8,-2789,0
-3220.8,-3406,0
-3239.4,-3447,0
-3216.6,-3285,0
-3143.2,-3133,0
-3212,-3133,0
-3280.8,-2973,0
-3194.2,-3100,0
-3124.8,-3548,0
-3177.4,-2941,0
-3139,-3112,0
-3134.8,-3311,0
-3202.4,-3311,0
-3244.6,-3239,0
-3182.8,-3273,0
-3249.2,-3240,0
-3274.8,-3240,0
-3260.6,-3229,0
-3244.2,-3420,0
-3280.4,-3511,0
-3328,-3050,0
-3290,-2828,0
-3207.6,-3295,0
-3220.8,-3345,0
-3205.8,-3242,0
-3152,-3359,0
-3213.8,-3319,0
-3312,-3182,0
-3289.4,-3332,0
-3286.8,-3642,0
-3366.8,-3451,0
-3385.2,-2877,0
-3296.8,-2810,0
-3222.4,-3281,0
-3212.2,-3281,0
-3140,-3250,0
-3099.8,-3246,0
-3173.6,-3246,0
-3260.8,-3166,0
-3237.8,-3496,0
-3280.8,-3544,0
-3339.6,-3464,0
-3383.2,-2864,0
-3306.8,-2864,0
-3246.4,-3399,0
-3227,-3399,0
-3198,-3433,0
-3191.8,-3301,0
-3279.2,-3301,0
-3366.6,-3160,0
-3318.8,-3394,0
-3317.8,-3540,0
-3339.2,-3540,0
-3387,-2946,0
-3316,-2855,0
-3255,-3138,0
-3203.8,-3138,0
-3123.4,-3214,0
-3058.2,-3223,0
-3113.6,-3144,0
-3171.4,-3167,0
-3177.2,-3207,0
-3191,-3312,0
-3210.6,-3312,0
-3228.4,-3676,0
-3334.8,-2768,0
-3255,-2768,0
-3167.2,-2768,0
-3058.4,-3274,0
-3050.8,-3274,0
-2970.4,-2979,0
-3012.6,-2979,0
-3054.8,-3099,0
-3121,-3290,0
-3124.2,-3350,0
-3139.4,-3384,0
-3220.4,-3633,0
-3351.2,-3633,0
-3458,-3633,0
-3526.6,-3206,0
-3497.8,-2885,0
-3398,-3033,0
-3278,-3245,0
-3200.4,-3402,0
-3154.2,-3299,0
-3172.8,-3289,0
-3253.6,-3363,0
-3319.6,-3343,0
-3339.2,-3343,0
-3327.4,-3583,0
-3384.2,-3510,0
-3428.4,-3112,0
-3378.2,-3278,0
-3365.2,-3278,0
-3352.2,-3434,0
-3322.4,-3439,0
-3308.2,-3483,0
-3382.4,-3404,0
-3407.6,-3404,0
-3432.8,-3404,0
-3426.8,-3726,0
-3484.2,-3008,0
-3389.2,-3310,0
-3370.4,-3247,0
-3339,-3195,0
-3297.2,-3491,0
-3250.2,-3528,0
-3354.2,-3404,0
-3373,-3243,0
-3372.2,-3427,0
-3418.6,-3670,0
-3454.4,-3670,0
-3482.8,-3005,0
-3403,-2941,0
-3342.6,-3490,0
-3355.2,-3436,0
-3308.4,-3391,0
-3252.6,-3391,0
-3329.8,-3406,0
-3422.8,-3406,0
-3406,-3485,0
-3415.8,-3708,0
-3479.2,-3635,0
-3528,-3635,0
-3573.8,-2903,0
-3473.2,-3439,0
-3464,-3439,0
-3410.2,-3336,0
-3350.4,-3439,0
-3311.2,-3439,0
-3418.4,-3371,0
-3404.8,-3714,0
-3459.8,-3714,0
-3535.4,-3714,0
-3590.4,-3321,0
-3566.8,-3328,0
-3558.2,-3649,0
-3545.2,-3510,0
-3504.4,-3510,0
-3463.6,-3456,0
-3490.6,-3456,0
-3516.2,-3456,0
-3477.6,-3540,0
-3483.6,-3846,0
-3550.8,-3614,0
-3582.4,-3614,0
-3614,-3352,0
-3593.2,-3352,0
-3555.6,-3440,0
-3474.4,-3370,0
-3425.6,-3282,0
-3359.2,-3383,0
-3365.4,-3309,0
-3356.8,-3412,0
-3351.2,-3659,0
-3409,-3248,0
-3402.2,-3248,0
-3375.2,-3481,0
-3409.6,-3374,0
-3402,-3374,0
-3345,-3433,0
-3382,-3442,0
-3420.8,-3411,0
-3406.8,-3552,0
-3442.4,-3552,0
-3478,-3552,0
-3501.8,-3160,0
-3445.4,-3160,0
-3395.2,-3450,0
-3374.8,-3325,0
-3329.4,-3264,0
-3271.8,-3115,0
-3262.8,-3389,0
-3308.6,-3555,0
-3329.6,-3555,0
-3375.6,-3483,0
-3419.4,-3483,0
-3493,-3706,0
-3556.4,-3706,0
-3586.6,-2977,0
-3471,-3132,0
-3400.8,-3427,0
-3389.6,-3367,0
-3321.8,-3367,0
-3254,-3394,0
-3337.4,-3508,0
-3412.6,-3538,0
-3434.8,-3760,0
-3513.4,-3853,0
-3610.6,-3383,0
-3608.4,-3383,0
-3583.4,-3197,0
-3515.2,-3493,0
-3461.8,-3493,0
-3389.8,-3422,0
-3397.6,-3294,0
-3379.8,-3477,0
-3435.8,-3477,0
-3432.6,-3638,0
-3461.6,-3638,0
-3504.8,-3054,0
-3456.8,-3119,0
-3385.2,-3393,0
-3368.4,-3393,0
-3319.4,-3272,0
-3246.2,-3368,0
-3309,-3491,0
-3383.4,-3491,0
-3403,-3766,0
-3477.6,-3257,0
-3474.6,-3257,0
-3452.4,-3385,0
-3431.2,-3641,0
-3461.2,-3638,0
-3435.6,-3638,0
-3511.8,-3488,0
-3558,-3519,0
-3584.8,-3641,0
-3584.8,-3641,0
-3585.4,-3899,0
-3637.6,-3185,0
-3577,-3580,0
-3589.2,-3674,0
-3595.8,-3516,0
-3570.8,-3570,0
-3505,-3578,0
-3583.6,-3578,0
-3583.2,-3362,0
-3520.8,-3680,0
-3553.6,-3680,0
-3575.6,-3680,0
-3596,-3716,0
-3623.6,-3569,0
-3665,-3569,0
-3642.8,-3536,0
-3614,-3498,0
-3577.6,-3498,0
-3534,-3805,0
-3581.2,-3928,0
-3653,-3422,0
-3630.2,-3422,0
-3615,-3378,0
-3591,-3378,0
-3505.6,-3553,0
-3430.6,-3570,0
-3460.2,-3539,0
-3483.6,-3484,0
-3504.8,-3465,0
-3522.2,-3465,0
-3504.6,-3581,0
-3506.8,-3170,0
-3433,-3209,0
-3378,-3432,0
-3371.4,-3417,0
-3361.8,-3438,0
-3333.2,-3438,0
-3386.8,-3594,0
-3463.8,-3663,0
-3510,-3663,0
-3559.2,-3883,0
-3648.2,-3750,0
-3710.6,-3197,0
-3631.2,-3482,0
-3595,-3577,0
-3577.8,-3577,0
-3516.6,-3577,0
-3482,-3577,0
-3558,-3577,0
-3577,-3620,0
-3585.6,-3723,0
-3614.8,-3940,0
-3687.4,-3582,0
-3688.4,-3176,0
-3608.2,-3567,0
-3597.6,-3567,0
-3566.4,-3475,0
-3473.4,-3529,0
-3462.8,-3450,0
-3517.6,-3414,0
-3487,-3414,0
-3456.4,-3766,0
-3514.6,-3799,0
-3568.6,-3472,0
-3573,-3311,0
-3552.4,-3497,0
